"Story","Title","Result","Date","Stability","Duration (s)"
"Stockbit Login Forgot Password","Send link reset with valid email","SUCCESS","2020-03-26T23:06:52.694+07:00[Asia/Bangkok]","0.0","22.31"
"Stockbit Login Forgot Password","Send link reset with invalid email","SUCCESS","2020-03-26T23:07:16.865+07:00[Asia/Bangkok]","0.0","28.68"
"Stockbit Login","Success login","SUCCESS","2020-03-26T23:07:47.183+07:00[Asia/Bangkok]","0.0","23.68"
"Stockbit Login","Success login with valid","SUCCESS","2020-03-26T23:08:12.28+07:00[Asia/Bangkok]","0.0","26.96"
"Stockbit Login","Fail login With Invalid Email","SUCCESS","2020-03-26T23:08:40.531+07:00[Asia/Bangkok]","0.0","11.62"
"Stockbit Login","Fail login With Wrong Password","SUCCESS","2020-03-26T23:08:54.181+07:00[Asia/Bangkok]","0.0","24.7"
"Stockbit Login","Fail login With Wrong Username And Wrong Password","SUCCESS","2020-03-26T23:09:20.166+07:00[Asia/Bangkok]","0.0","12.95"
"Stockbit Login","Fail login With Blank Password","SUCCESS","2020-03-26T23:09:34.745+07:00[Asia/Bangkok]","0.0","13.31"
"Stockbit Login","Fail login With Blank Username","SUCCESS","2020-03-26T23:09:50.194+07:00[Asia/Bangkok]","0.0","11.23"
"Stockbit Login","Fail login With Blank Username and Blank Password","SUCCESS","2020-03-26T23:10:02.999+07:00[Asia/Bangkok]","0.0","11.51"
